년,월,업종코드,업종명,가맹점 수
2020,5,9502,법무전문서비스,5
2020,5,9906,종교시설 기부,2
2020,5,9801,각종단체회비,2
2020,5,9602,기타서비스,130
2020,5,9511,기타전문서비스,12
2020,5,9504,광고기획.대행업,4
2020,5,9503,세무전문서비스,11
2020,5,1101,양복점.한복점,14
2020,5,1104,아동.유아복,31
2020,5,1106,일반의류,479
2020,5,1107,스포츠용품점,58
2020,5,1108,모피.무스탕,1
2020,5,1110,내의류,93
2020,5,1111,교복,17
2020,5,1112,의류관련(기타),5
2020,5,1201,커튼.카펫.수건,41
2020,5,1202,침구및수예품,84
2020,5,1301,세탁업,305
2020,5,1401,기타잡화,150
2020,5,1402,시계.귀금속,55
2020,5,1403,안경.광학제품,201
2020,5,1404,구두.신발,51
2020,5,1405,가방.핸드백,10
2020,5,1407,가발,8
2020,5,1501,화장품,252
2020,5,1503,미용재료,24
2020,5,1601,이발소,18
2020,5,1602,미용실(두발전문),1197
2020,5,1701,피부.체형미관리,198
2020,5,2102,"축산물,정육점",486
2020,5,2103,"수산물,건어물",217
2020,5,2104,"농산물,청과물",472
2020,5,2105,기타식음료품,640
2020,5,2201,건강보조식품,58
2020,5,2202,인삼전문점,19
2020,5,2203,한국인삼공사,8
2020,5,2301,일반음식점,7068
2020,5,2302,중식전문점,379
2020,5,2303,일식전문점,282
2020,5,2305,서양식전문점,234
2020,5,2307,패스트푸드점,269
2020,5,2309,치킨전문점,655
2020,5,2310,식음료(기타),126
2020,5,2401,기타음식점,82
2020,5,2402,뷔페.출장연회,18
2020,5,2501,제과.제빵,367
2020,5,2502,커피전문점,1437
2020,5,2503,아이스크림전문점,39
2020,5,2601,일반주점,334
2020,5,2602,주류전문점,4
2020,5,2604,기타주점,1
2020,5,3101,가전제품,40
2020,5,3102,정수기.비데,1
2020,5,3104,기타전자제품,5
2020,5,3201,컴퓨터및소프트웨어,37
2020,5,3202,통신기기,29
2020,5,3203,"철재,사무용가구",5
2020,5,3204,기타사무용기기,10
2020,5,3301,가구판매점,105
2020,5,3302,기타가정.주방용품,129
2020,5,3303,조명기구.전기,54
2020,5,3402,"보일러,펌프,샷시",41
2020,5,3403,기타건축자재,119
2020,5,3405,실내장식(인테리어),46
2020,5,3501,중고품판매점,20
2020,5,3503,기타장비임대,55
2020,5,3504,기타수리.수선전문,102
2020,5,3601,기타부동산관련업,6
2020,5,3602,부동산중개,1
2020,5,3801,웨딩토탈서비스,8
2020,5,3802,예식장,3
2020,5,4101,종합병원,12
2020,5,4102,일반병원,36
2020,5,4103,한방병원,7
2020,5,4104,요양병원,15
2020,5,4201,치과,393
2020,5,4202,내과,251
2020,5,4203,신경정신과,55
2020,5,4204,외과,39
2020,5,4205,성형외과,21
2020,5,4206,산부인과,39
2020,5,4207,안과,42
2020,5,4208,이비인후과,63
2020,5,4209,피부과,93
2020,5,4211,기타의료업,110
2020,5,4212,한의원,310
2020,5,4214,소아과,39
2020,5,4215,정형외과,101
2020,5,4401,의약품판매,5
2020,5,4402,약국,665
2020,5,4403,한약방,18
2020,5,4501,기타약품.의료기기,56
2020,5,4601,산후조리원,9
2020,5,5101,백화점,1
2020,5,5102,대형할인점,3
2020,5,5103,기타상설할인.아울렛,2
2020,5,5201,슈퍼마켓.마트,680
2020,5,5202,편의점,1057
2020,5,5203,소비조합(구내매점),12
2020,5,5204,농수축협직판장,23
2020,5,5205,농협식품전문점,15
2020,5,5206,체인스토어,45
2020,5,5301,기타,32
2020,5,5302,기타종합소매점,56
2020,5,5402,비료.사료.종자,25
2020,5,5602,통신.방문판매,10
2020,5,6101,호텔(특급),1
2020,5,6102,호텔(특급외),9
2020,5,6103,기타숙박업소,43
2020,5,6104,레저용숙박업소,2
2020,5,6203,"수집품,기념품",3
2020,5,6204,차량임대(렌터카),3
2020,5,6205,선물용품점,3
2020,5,6402,자동차(수입신차),4
2020,5,6403,자동차(중고차),3
2020,5,6404,오토바이,8
2020,5,6501,차량부품.용품,110
2020,5,6502,자동차정비,334
2020,5,6504,타이어판매점,46
2020,5,6601,주유소,207
2020,5,6602,주유소(LPG),33
2020,5,6603,기타연료판매,13
2020,5,6701,주차장.폐차장,76
2020,5,6702,세차장,80
2020,5,7101,유치원,1
2020,5,7103,대학교.대학원,1
2020,5,7201,"입시학원,보습학원",465
2020,5,7202,외국어학원,124
2020,5,7204,무술도장 등(학원),143
2020,5,7205,예체능계열학원,224
2020,5,7210,자동차운전학원,5
2020,5,7211,기술.직업훈련학원,23
2020,5,7213,기타교육.교습.학원,470
2020,5,7301,요양.보육.복지시설,13
2020,5,7303,교육및교구,16
2020,5,8101,서적(출판),125
2020,5,8102,"문구,사무용품",161
2020,5,8104,악기판매점,13
2020,5,8105,"기타레저,스포츠용품",131
2020,5,8106,자전거,61
2020,5,8107,카메라.캠코더,2
2020,5,8109,예술품.골동품,5
2020,5,8110,화원.화초,278
2020,5,8111,"애완동물,용품(수족관)",88
2020,5,8112,기타상품판매점,93
2020,5,8113,사진관.현상소,83
2020,5,8114,점술업,1
2020,5,8115,동물병원,65
2020,5,8117,완구,13
2020,5,8119,화방.표구점,1
2020,5,8120,민예품.공예품,18
2020,5,8121,전문스포츠용품점,78
2020,5,8202,기타오락.휴식시설,40
2020,5,8203,영화.공연장,4
2020,5,8302,골프장,3
2020,5,8305,헬스클럽,72
2020,5,8308,당구장,88
2020,5,8309,골프연습장,72
2020,5,8310,기타취미.레저.스포츠,194
2020,5,8401,오락실/PC방,123
2020,5,8402,노래방,91
2020,5,8405,사우나.목욕탕.찜질방,35
2020,5,8406,기타대인서비스,13
2020,5,8501,기타요금,5
2020,5,8503,종합레저타운,5
2020,5,9204,공과금,1
2020,5,9301,이사/화물운송업,8
2020,5,9303,택배서비스,5
2020,5,9305,기타운송기구,3
2020,5,9306,창고보관업,1
2020,5,9402,판촉물.인쇄.복사,20
2020,5,9407,기계.장비(기타),13
2020,6,8203,영화.공연장,7
2020,6,1101,양복점.한복점,61
2020,6,1104,아동.유아복,46
2020,6,1106,일반의류,1164
2020,6,1107,스포츠용품점,89
2020,6,1108,모피.무스탕,1
2020,6,1110,내의류,124
2020,6,1111,교복,23
2020,6,1112,의류관련(기타),9
2020,6,1201,커튼.카펫.수건,128
2020,6,1202,침구및수예품,192
2020,6,1301,세탁업,517
2020,6,1401,기타잡화,277
2020,6,1402,시계.귀금속,163
2020,6,1403,안경.광학제품,295
2020,6,1404,구두.신발,121
2020,6,1405,가방.핸드백,29
2020,6,1407,가발,15
2020,6,1501,화장품,629
2020,6,1503,미용재료,60
